Minneapolis ,66
Pauline ,66
Ray Conlln ,66
Ryan A Lee ,66
"""School Days"" ",65
3 Alex ,65
Bertie Ford ,65
Dooley A Rugel ,65
E J Moore ,65
Flying Henrys ,65
Grace Cameron ,65
Henry A Adelaide ,65
Merle's Cockatoos ,65
Morton A Glass ,65
O'Brien Havel Co ,65
Plsano A Bingham ,65
Reno ,65
Sid Lewis ,65
Singer's Midgets ,65
Stan Stanley 3 ,65
Strand ,65
(Atlanta split) ,64
(Johnstown split) ,64
Avellng A Lloyd ,64
Booked Solid ,64
Hugo Lutgens ,64
Ioleen Sisters ,64
Jim Reynolds ,64
Larry Comer ,64
Marcou ,64
Mclntyre A Heath ,64
Morton Bros ,64
Santos A Hayes ,64
"""Dairy Maids"" ",63
"""Dream of Orient"" ",63
(One to till) ,63
(afth) ,63
1st balf ,63
Arco Bros ,63
Byal A Early ,63
Farber Girls ,63
Ferry ,63
Harry Gilbert ,63
Herbert Clifton ,63
Homer Miles Co ,63
Kenny A Hollls ,63
Loney Haskell ,63
Maryland Singers ,63
McRae A Clegg ,63
Raymond A Caverly ,63
Rube Dickinson ,63
The Berrens ,63
Baby Helen ,62
Bennett Sisters ,62
Bessie Wynn ,62
Casting Campbells ,62
Clark A Hamilton ,62
Clinton A Rooney ,62
Dorothy Herman ,62
Ed A Jack Smith ,62
Ernie A Ernie ,62
Herman A Shirley ,62
Hyman Adler Co ,62
Lane A Harper ,62
Louis Stone ,62
Margaret Ford ,62
Orvllle Stamm ,62
Rlgoletto Bros ,62
Smith A Austin ,62
Swain's Animals ,62
The Sharrocks ,62
Tuscano Bros ,62
Venlta Gould ,62
Weber A Elliott ,62
Wilson A Wilson ,62
Wood A Wyde ,62
"""Woman Proposes"" ",61
Chip A Marble ,61
Creole Band ,61
Cycling McNutts ,61
Florence Rayfleld ,61
Flying Martins ,61
Gertrude Barnes ,61
Green A Parker ,61
Harry B Lester ,61
Julie Ring Co ,61
Kajlyama ,61
Milton Pollock Co ,61
Odlva ,61
Olive Briscoe ,61
Richards A Kyle ,61
Smith A Farmer ,61
Yvette ,61
Adrian ,60
Bell Boy Trio ,60
Cartmell A Harris ,60
Daisy Harcourt ,60
Eva Fay ,60
"Hartford, Conn. ",60
Jarvls A Harrison ,60
Jones A Johnson ,60
Kartelll ,60
Sam Mann Co ,60
Senator Murphy ,60
Skating Bear ,60
Van Hoven ,60
Walsh Lynch Co ,60
Will A Kemp ,60
"""Trained Nurses"" ",59
(Continued ,59
